task_id,operation,x,y,result
1,sin,551.56863544911243,0,-0.97608808226629928
4,sin,528.86775022842198,0,0.88204471677783725
7,sin,45.388503307899782,0,0.98648558817645782
10,sin,-962.63820875420413,0,-0.96640551147335962
14,sin,-5.3530805046384557,0,0.80168259100185502
16,sin,931.43155242478247,0,0.99871658236675831
19,sin,-284.25469802833436,0,-0.99823413424991714
21,sin,-677.49572640835879,0,0.8858332684626582
24,sin,-212.67391665110802,0,0.81595765892547645
26,sin,-354.68787594589696,0,-0.30705206677504254
29,sin,720.81385160490709,0,-0.98354471579328551
33,sin,512.86115065597892,0,-0.70437915605924695
36,sin,-359.38578971683785,0,-0.94714852645409175
39,sin,908.25741181335457,0,-0.33078466512696869
40,sin,520.26179128849685,0,-0.94662179319209638
43,sin,340.87264432899224,0,0.99995157367117948
46,sin,-33.077388873187601,0,-0.99589265207204047
49,sin,698.86438871268319,0,0.99021924575730813
52,sin,-806.02866468666173,0,-0.9779998348148049
55,sin,363.64894443621779,0,-0.70028980119154804
57,sin,-127.0646332038848,0,-0.98560687628738319
59,sin,598.75077979745265,0,0.96177638555707978
61,sin,-588.70808804009425,0,0.94257627934893085
64,sin,-62.045897551166377,0,0.70750078241413428
67,sin,244.50316990390297,0,-0.51504236758257316
69,sin,797.16455220021635,0,-0.71734341879437669
71,sin,-406.04230053286699,0,0.70103528659841863
74,sin,971.65152791755349,0,-0.7829525325725859
76,sin,849.06230989466007,0,0.7394772062889392
78,sin,-2.2539475496452042,0,-0.77558739435969015
81,sin,214.89535888850719,0,0.95422519805981609
84,sin,202.58418064345437,0,0.99882189797297627
87,sin,-835.04070742146655,0,0.58342417631079502
90,sin,-466.57725092430564,0,-0.99871290770208854
93,sin,-604.03071019246886,0,-0.74791847807563561
96,sin,-423.27721284787151,0,-0.74316981417246819
99,sin,-561.02254209179341,0,-0.96934305296657686
102,sin,18.623813887641518,0,-0.22382963091286825
106,sin,863.84074250997151,0,0.097084068712075047
109,sin,697.88975849317626,0,0.440530390999753
112,sin,581.7095910158173,0,-0.49249142230044218
115,sin,920.03543741021076,0,0.43605483885420487
118,sin,-101.67709850870983,0,-0.91117774334672841
122,sin,974.6801695811132,0,0.70784800918751978
125,sin,112.88663985943049,0,-0.20914023592132586
129,sin,138.40996112067478,0,0.17891580322432304
131,sin,-266.87148347045854,0,-0.16315936239229017
134,sin,0.82060792903541824,0,0.7315604366742402
137,sin,695.05648004559521,0,-0.69217882067536707
140,sin,-228.29207771613574,0,-0.86451570123116528
142,sin,-25.085015165865002,0,0.047707946694717132
146,sin,-661.9409567447376,0,-0.80465439635333214
148,sin,820.08964633580968,0,-0.13356341630791091
151,sin,-51.114954652355323,0,-0.7509319580532795
154,sin,568.79472809047093,0,-0.16569014747328928
158,sin,-661.58476530420899,0,-0.96119026169387445
161,sin,-395.09349180781624,0,0.67957455647977993
164,sin,-400.55210529910812,0,0.99999954108585487
167,sin,610.13465427065466,0,0.61759367992381098
170,sin,-20.187698590741888,0,-0.97305799320131381
173,sin,-996.74387370989143,0,0.75719139392224577
176,sin,-480.66245340567241,0,-0.0012225932613812013
180,sin,536.8099611101045,0,0.39161180429266995
183,sin,-947.2237144108492,0,0.99943794388511853
186,sin,982.24212380297627,0,0.88024429077636934
189,sin,-314.2064879861133,0,-0.047205078199209695
193,sin,306.69094211371521,0,-0.92655096792304859
196,sin,78.278272274913888,0,0.25857241361998134
199,sin,229.02178491084055,0,0.30932087525141455
202,sin,-112.3971018249091,0,0.64439641656914648
205,sin,777.13686069894402,0,-0.91818537926046229
208,sin,-777.79858170258478,0,0.96781448406891224
211,sin,-46.198658448891024,0,-0.79875997924000219
213,sin,-553.3146355498078,0,-0.3841883265269514
216,sin,719.10844951237232,0,0.31102198341798393
219,sin,127.71294188029947,0,0.88771449037870642
222,sin,-274.40939487918399,0,0.88701232664199514
225,sin,63.150469026565588,0,0.31325247499390801
226,sin,115.96134298590823,0,0.2740340854291195
229,sin,779.66469449195256,0,0.52244543339561045
232,sin,591.89697851006827,0,0.95731331860178026
237,sin,35.812511425776847,0,-0.95054695108368215
240,sin,-925.35819096256876,0,-0.98736163714387704
242,sin,876.97417476477449,0,-0.45272973079553336
244,sin,-816.92044975790191,0,-0.10615940691871201
247,sin,873.87981494077735,0,0.49432420895850354
251,sin,-302.72437367112093,0,-0.90504219856990875
253,sin,666.10166575275503,0,0.083924360769148831
256,sin,182.12225538926577,0,-0.089996587830915603
259,sin,509.52805605407139,0,0.5563993889488964
262,sin,-22.891708964560166,0,0.78367513026951097
265,sin,673.34524980851188,0,0.86463426418156275
268,sin,-547.10260497269905,0,-0.44885468662002753
274,sin,-475.55008159376814,0,0.920590910304389
277,sin,-438.48968989830735,0,0.97192573144210725
280,sin,557.94291282398353,0,-0.95226740719227188
283,sin,-511.20525055748783,0,-0.76712796081534274
286,sin,-941.03597754034263,0,0.99169388893491894
289,sin,983.77532117119267,0,-0.44109695644784874
293,sin,-285.11452305403043,0,-0.69642839152988545
297,sin,530.46273830272048,0,0.44969171305220262
300,sin,-820.26523670382221,0,0.30463397667535336
304,sin,-439.75238343788442,0,0.070529459726267882
307,sin,149.80734131486406,0,-0.83553514740246182
309,sin,-675.93054547360703,0,0.46897064518920156
313,sin,952.94026999645894,0,-0.86123558684069501
315,sin,-783.20940823750232,0,0.81506275009113494
318,sin,-985.85179378482451,0,0.57147277374567096
321,sin,-238.53111015848617,0,0.22791084081308294
324,sin,921.19938955674843,0,-0.6539107878196565
327,sin,758.29603992969419,0,-0.92161074463341719
330,sin,-824.4948594941269,0,-0.98503625741694778
332,sin,-628.59248583941769,0,-0.27054117146927453
335,sin,500.16723022949441,0,-0.60836454865517675
338,sin,-77.315700231667051,0,-0.94050588009552427
340,sin,-277.90171020543573,0,-0.99166017604056267
343,sin,875.29316988799155,0,0.93603207610831385
347,sin,-657.77546327084588,0,0.9255927874563159
350,sin,618.35754337102549,0,0.51088106330195682
353,sin,441.42219250130734,0,0.99959604621188614
355,sin,418.71436910453417,0,-0.77235867843778139
358,sin,531.40713904170366,0,-0.45998702435638261
361,sin,334.40823447841217,0,0.98534982325353904
364,sin,719.61943972474728,0,-0.19349384791524202
367,sin,-888.47867012027359,0,-0.55806398276740743
371,sin,-694.58340297587438,0,0.28731889974573566
373,sin,-981.79597531451282,0,-0.99883517821666645
375,sin,8.3419394333091077,0,0.88329213052320421
378,sin,-389.63618193014759,0,-0.078611691621943536
381,sin,-831.4021075347207,0,-0.90007676872818154
384,sin,-468.55228622814184,0,0.43944510597462494
387,sin,859.3610190295135,0,-0.99084359897541552
390,sin,179.33502817562089,0,-0.26118240305730084
393,sin,-554.4914159770027,0,-0.99999995113486706
396,sin,-314.61146156440998,0,-0.43694205034950856
399,sin,-791.35734338647922,0,0.31836601707271844
402,sin,-886.58828171557252,0,-0.61244782747986981
405,sin,-152.18996159526205,0,-0.98432664217414645
407,sin,484.70857218563037,0,0.78537614046450543
410,sin,456.78831720102926,0,-0.95128658379293751
414,sin,-456.49006999609696,0,0.81869529663778451
417,sin,-646.54246715242652,0,0.58559954180612628
422,sin,-866.28292208077789,0,0.71501831925442838
424,sin,-563.64810125980841,0,0.96436064898677076
429,sin,-601.29521822475374,0,0.94930619111726922
